name,subGroup,value,year,tcolour
Blair,122 months in office,11,34,#ee3224
Brown,35 months in office,13,34,#ee3224
May,34 months in office,30,34,#00539f
Asquith,105 months in office,0,35,#ffb703
Baldwin,87 months in office,1,35,#00539f
Churchill,104 months in office,1,35,#00539f
Attlee,76 months in office,2,35,#ee3224
Eden,22 months in office,2,35,#00539f
Thatcher,139 months in office,2,35,#00539f
Heath,45 months in office,3,35,#00539f
Macdonald,82 months in office,3,35,#ee3224
Wilson,94 months in office,3,35,#ee3224
Callaghan,37 months in office,4,35,#ee3224
Cameron,75 months in office,5,35,#00539f
Chamberlain,36 months in office,5,35,#00539f
Macmillan,82 months in office,5,35,#00539f
Major,78 months in office,5,35,#00539f
Lloyd George,71 months in office,6,35,#ffb703
Balfour,41 months in office,7,35,#00539f
Blair,122 months in office,11,35,#ee3224
Brown,35 months in office,13,35,#ee3224
May,34 months in office,30,35,#00539f
Asquith,105 months in office,0,36,#ffb703
Baldwin,87 months in office,1,36,#00539f
Churchill,104 months in office,1,36,#00539f
Attlee,76 months in office,2,36,#ee3224
Eden,22 months in office,2,36,#00539f
Macdonald,82 months in office,3,36,#ee3224
Wilson,94 months in office,3,36,#ee3224
Callaghan,37 months in office,4,36,#ee3224
Cameron,75 months in office,5,36,#00539f
Chamberlain,36 months in office,5,36,#00539f
Heath,45 months in office,5,36,#00539f
Macmillan,82 months in office,5,36,#00539f
Major,78 months in office,5,36,#00539f
Thatcher,139 months in office,5,36,#00539f
Balfour,41 months in office,7,36,#00539f
